A1,A2,A2a,A2a1,A3_0,A3_1,A3_2,A3_3,A3_4,A4_0,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,A4_8,A4_9,A5,A5a,A6,A61,B1,B1a,B2,B2a,B3,B3a,B4_0,B4_1,B4_2,B4_3,B4_4,B4_5,B4_6,B4_7,B4_8,B4_9,B4_10,B4_11,B5,B5a,B6,B6a,B7,B7a,B8,B8a,B9,B9a,B10,B10a,B11,B111_0,B111_1,B111_2,B111_3,B111_4,B111_5,B111_6,B111_7,B111_8,B111_9,B12,B121,B122,B123,B124,B13,B131,B132_0,B132_1,B132_2,B132_3,B132_4,B132_5,B132_6,B132_7,B132_8,B132_9,B132_10,B132_11,B132_12,B132_13,B132_14,B132_15,C1,C1a,C1b,C1c,C1d,C2,C2a_0,C2a_1,C2a_2,C2a_3,C2a_4,C2a_5,C2a_6,C2b_0,C2b_1,C2b_2,C2b_3,C2b_4,C2b1,C3,C3a,C4,C5_0,C5_1,C5_2,C5_3,C5_4,C5_5,C5_6,C6,C71,C72,C73,C74,C75,C71a,C72a,C73a,C74a,C75a,C8,C9,C9a,E1,E2,E2Y,E2M,E3,E41,E42,E42a,E5,E6,E7a,E7b,CODE,YY,CC,CITY,ENERGY_CODE,WI
1,2,,.,0,1,,,,0,,1,,,,,,,,2,,1,,4,.,,.,2,.,1,,,,,,,,,,,,6,.,3,.,,.,,.,,.,6,.,1,0,,1,,,,,1,,,2,,2,3,,2,,0,1,,,,,,,,,,,,,,,2,80,3,,,1,9,,,,,,,9,,,,,,7,.,,0,,1,1,,,,6,1,1,,1,1,,,,,,1,7,.,1,8,.,.,1,8,2,8,4,1,3,2,110003,2015,1987,1,1,58
1,2,,.,0,1,,,,0,1,,,,,1,,,,2,,1,,7,.,4,.,2,.,0,,,,,1,1,1,1,,,,4,.,5,.,3,.,3,.,3,.,4,.,2,9,,,,,,,,,,2,,2,3,3,2,1,0,1,,,,,,,,,,,,,,,2,,3,,,1,9,,,,,,,9,,,,,,4,.,2,0,1,,,,,,1,1,1,,1,1,,,,,,2,9,.,1,8,.,.,2,10,1,,1,1,1,18,110005,2011,1987,1,1,58
1,2,,.,0,1,,,,0,1,,,,1,,,1,,2,,1,,3,.,,.,3,.,0,,,,1,1,1,1,1,1,,,5,.,3,.,7,.,7,.,4,.,7,.,2,9,,,,,,,,,,1,1,,,,2,1,0,,,,1,,,,,,,,,,,,2,,3,,,1,9,,,,,,,9,,,,,,5,.,6,0,1,,1,,,,3,1,1,,1,2,,,,,3600,3,11,.,2,8,.,.,3,10,1,,1,1,2,1,110007,2015,1998,1,1,58
1,1,1,1,0,1,,,,0,1,,,,,,,,,2,,1,,3,.,3,.,3,.,0,,,,1,,,,,,,,4,.,2,.,1,.,6,.,6,.,6,.,2,9,,,,,,,,,,2,,1,1,,1,,9,,,,,,,,,,,,,,,,2,,3,,,2,1,,,,,,,1,,,,,,4,.,1,0,1,1,,,,,1,,1,1,1,1,,,,,,1,10,.,1,5,.,.,3,5,1,,3,1,2,,110008,2015,1987,1,1,58
1,2,,.,0,1,,,,0,1,,,,,,,,,2,,1,,7,.,6,.,2,.,0,1,,,,,,1,,,,,6,.,3,.,2,.,7,.,4,.,8,.,1,0,1,1,,1,,,,,,2,,1,3,3,2,1,0,1,,,,,,,,,,,,,,,2,95.9,3,,,1,9,,,,,,,9,,,,,,8,.,1,0,1,,,,,,1,1,1,,1,1,,,,,,5,8,.,1,8,.,.,2,13,1,,1,1,1,18,110011,2010,2362,1,1,58
1,2,,.,0,1,,,,0,,1,,,,1,,,,2,,1,,5,.,3,.,5,.,0,,,,1,1,,1,1,,,,3,.,2,.,2,.,3,.,2,.,2,.,1,0,,,,,,,,1,,2,,2,1,2,2,1,0,1,,,,,,,,,,,,,,,2,,3,,,1,9,,,,,,,9,,,,,,3,.,3,0,1,,,,,,1,1,1,,1,1,,,,,,1,4,.,1,10,41,2,1,13,1,,1,1,1,,110014,2012,1798,1,1,58
1,2,,.,0,1,,,,0,,1,,,,1,,,,2,,2,6,4,.,2,.,2,.,0,,,,,,,,1,1,1,1,3,.,3,.,1,.,4,.,3,.,8,8,2,9,,,,,,,,,,2,,1,,1,2,1,0,,,,,,,,,,,,,,,1,1,2,,,,,9,,,,,,,9,,,,,,3,.,4,0,1,,,,,,1,1,1,,1,1,,,,,,2,4,.,1,8,.,.,2,12,2,1,3,1,1,,110016,1998,2988,1,1,58
1,2,,.,0,1,1,,,0,1,1,,,1,,,,,2,,1,,5,.,6,.,1,.,1,,,,,,,,,,,,5,.,7,.,2,.,6,.,6,.,8,.,1,0,,1,,,1,1,1,,,1,2,,,,2,1,0,1,,1,,,,,,,,,,,,,1,81,,,,2,0,,,,,,1,1,,,,,,9,.,2,0,1,1,1,,,,7,1,1,,1,1,,,,,,2,10,.,1,9,.,.,1,13,1,,1,1,1,2,110018,2010,1987,1,1,58
1,2,,.,0,1,,,,0,,,,,1,,,,,2,,1,,1,.,4,.,4,.,0,,,,1,1,1,1,,,,,3,.,2,.,3,.,4,.,3,.,4,.,2,9,,,,,,,,,,1,1,,,,2,1,0,,,,1,,,,,1,,1,,,,,2,,3,,,1,9,,,,,,,9,,,,,,5,.,4,0,1,,,,,,2,1,1,,1,2,,,,,3000,2,8,.,1,9,.,.,3,13,1,,1,1,2,1,110019,2017,1798,1,1,58
1,2,,.,0,1,1,,,0,,,1,,,,,,,2,,1,,6,.,1,.,2,.,0,,,,,,1,1,1,1,,,4,.,,.,,.,,.,,.,,.,,9,,,,,,,,,,2,,2,,,2,1,0,1,,,,,,,,,,,,,,,1,66,,,,1,9,,,,,,,9,,,,,,,.,1,0,1,,,,,,1,1,1,,1,1,,,,,,2,,.,1,10,.,.,1,13,1,,1,1,1,18,110020,2012,1798,1,1,58
